# x 	 y 	 value
# Depth = 6, x = 1.00000 - 1.03125, y = 3.96875 - 4.00000
1.02449	3.98363	0.0	
1.02544	3.99990	1.0	
1.00215	3.96938	1.0	
1.01703	3.99148	1.0	
1.01221	3.98440	0.0	
1.02160	3.99088	0.0	
1.00881	3.99769	0.0	
1.01111	3.97070	0.0	
1.01821	3.99543	1.0	
1.01807	3.99634	0.0	
1.02446	3.99297	0.0	
1.00204	3.98966	1.0	
1.00434	3.96923	0.0	
1.01683	3.98773	0.0	
1.00333	3.97684	0.0	
1.00409	3.97587	1.0	
1.00877	3.98955	1.0	
1.02743	3.96933	1.0	
1.00881	3.98129	0.0	
1.00548	3.97876	1.0	
# Depth = 6, x = 1.03125 - 1.06250, y = 3.96875 - 4.00000
1.05143	3.96998	0.0	
1.03268	3.99080	1.0	
1.04632	3.99977	0.0	
1.03657	3.99898	0.0	
1.03511	3.97913	1.0	
1.05951	3.98292	1.0	
1.03272	3.98056	0.0	
1.04865	3.99636	1.0	
1.04324	3.96926	0.0	
1.03709	3.99137	0.0	
1.05775	3.99791	0.0	
1.04885	3.99679	1.0	
1.05176	3.99689	0.0	
1.05743	3.97790	1.0	
1.04311	3.97199	1.0	
1.03201	3.98204	0.0	
1.05973	3.99148	0.0	
1.04505	3.97683	1.0	
1.03972	3.98217	1.0	
1.04546	3.98332	0.0	
# Depth = 6, x = 1.00000 - 1.03125, y = 3.93750 - 3.96875
1.02997	3.95760	0.0	
1.00620	3.96779	1.0	
1.00265	3.94562	0.0	
1.00801	3.96707	0.0	
1.01101	3.94502	1.0	
1.01238	3.94286	1.0	
1.01020	3.94717	0.0	
1.01897	3.94558	1.0	
1.00674	3.96485	1.0	
1.00413	3.95199	1.0	
1.01089	3.94712	0.0	
1.00807	3.94974	0.0	
1.02729	3.96526	1.0	
1.02002	3.95055	0.0	
1.02819	3.96013	0.0	
1.00634	3.94334	0.0	
1.00781	3.95981	1.0	
1.00138	3.94825	1.0	
1.01279	3.95347	0.0	
1.01593	3.94667	1.0	
# Depth = 6, x = 1.03125 - 1.06250, y = 3.93750 - 3.96875
1.03505	3.94696	0.0	
1.06037	3.96199	0.0	
1.03698	3.96344	0.0	
1.04410	3.96783	0.0	
1.04962	3.94936	1.0	
1.04218	3.95542	1.0	
1.04450	3.96242	0.0	
1.04545	3.95950	1.0	
1.03153	3.94540	1.0	
1.04605	3.96507	1.0	
1.03153	3.94991	0.0	
1.04054	3.96511	1.0	
1.06195	3.94796	0.0	
1.04522	3.94177	0.0	
1.05420	3.96057	1.0	
1.04448	3.95771	1.0	
1.06129	3.95410	0.0	
1.05602	3.95395	0.0	
1.04938	3.96857	0.0	
1.03854	3.95686	1.0	
# Depth = 5, x = 1.06250 - 1.12500, y = 3.93750 - 4.00000
1.11559	3.97960	0.0	
1.10525	3.95545	0.0	
1.06541	3.99290	0.0	
1.12175	3.94798	1.0	
1.09720	3.94516	1.0	
1.10474	3.96597	1.0	
