# Depth 	 x_min 	 x_max 	 y_min 	 y_max 	 node value
3	1.00000	1.25000	3.75000	4.00000	0.500	
3	1.25000	1.50000	3.75000	4.00000	0.400	
3	1.00000	1.25000	3.50000	3.75000	0.500	
3	1.25000	1.50000	3.50000	3.75000	0.400	
4	1.50000	1.62500	3.87500	4.00000	0.500	
5	1.62500	1.68750	3.93750	4.00000	0.450	
5	1.68750	1.75000	3.93750	4.00000	0.500	
5	1.62500	1.68750	3.87500	3.93750	0.450	
5	1.68750	1.75000	3.87500	3.93750	0.500	
4	1.50000	1.62500	3.75000	3.87500	0.500	
5	1.62500	1.68750	3.81250	3.87500	0.550	
5	1.68750	1.75000	3.81250	3.87500	0.600	
5	1.62500	1.68750	3.75000	3.81250	0.600	
5	1.68750	1.75000	3.75000	3.81250	0.550	
6	1.75000	1.78125	3.96875	4.00000	0.350	
6	1.78125	1.81250	3.96875	4.00000	0.400	
6	1.75000	1.78125	3.93750	3.96875	0.250	
6	1.78125	1.81250	3.93750	3.96875	0.450	
6	1.81250	1.84375	3.96875	4.00000	0.400	
6	1.84375	1.87500	3.96875	4.00000	0.650	
6	1.81250	1.84375	3.93750	3.96875	0.450	
6	1.84375	1.87500	3.93750	3.96875	0.550	
6	1.75000	1.78125	3.90625	3.93750	0.400	
6	1.78125	1.81250	3.90625	3.93750	0.500	
6	1.75000	1.78125	3.87500	3.90625	0.400	
6	1.78125	1.81250	3.87500	3.90625	0.600	
6	1.81250	1.84375	3.90625	3.93750	0.600	
6	1.84375	1.87500	3.90625	3.93750	0.600	
6	1.81250	1.84375	3.87500	3.90625	0.450	
6	1.84375	1.87500	3.87500	3.90625	0.650	
5	1.87500	1.93750	3.93750	4.00000	0.500	
6	1.93750	1.96875	3.96875	4.00000	0.350	
6	1.96875	2.00000	3.96875	4.00000	0.600	
6	1.93750	1.96875	3.93750	3.96875	0.600	
6	1.96875	2.00000	3.93750	3.96875	0.600	
6	1.87500	1.90625	3.90625	3.93750	0.350	
6	1.90625	1.93750	3.90625	3.93750	0.600	
6	1.87500	1.90625	3.87500	3.90625	0.300	
6	1.90625	1.93750	3.87500	3.90625	0.600	
6	1.93750	1.96875	3.90625	3.93750	0.500	
6	1.96875	2.00000	3.90625	3.93750	0.550	
6	1.93750	1.96875	3.87500	3.90625	0.350	
6	1.96875	2.00000	3.87500	3.90625	0.550	
6	1.75000	1.78125	3.84375	3.87500	0.650	
6	1.78125	1.81250	3.84375	3.87500	0.550	
6	1.75000	1.78125	3.81250	3.84375	0.400	
6	1.78125	1.81250	3.81250	3.84375	0.600	
6	1.81250	1.84375	3.84375	3.87500	0.250	
6	1.84375	1.87500	3.84375	3.87500	0.450	
6	1.81250	1.84375	3.81250	3.84375	0.450	
6	1.84375	1.87500	3.81250	3.84375	0.450	
5	1.75000	1.81250	3.75000	3.81250	0.400	
6	1.81250	1.84375	3.78125	3.81250	0.450	
6	1.84375	1.87500	3.78125	3.81250	0.400	
6	1.81250	1.84375	3.75000	3.78125	0.300	
6	1.84375	1.87500	3.75000	3.78125	0.500	
5	1.87500	1.93750	3.81250	3.87500	0.400	
5	1.93750	2.00000	3.81250	3.87500	0.400	
5	1.87500	1.93750	3.75000	3.81250	0.450	
5	1.93750	2.00000	3.75000	3.81250	0.500	
3	1.50000	1.75000	3.50000	3.75000	0.500	
5	1.75000	1.81250	3.68750	3.75000	0.600	
6	1.81250	1.84375	3.71875	3.75000	0.400	
6	1.84375	1.87500	3.71875	3.75000	0.650	
6	1.81250	1.84375	3.68750	3.71875	0.600	
6	1.84375	1.87500	3.68750	3.71875	0.550	
5	1.75000	1.81250	3.62500	3.68750	0.550	
5	1.81250	1.87500	3.62500	3.68750	0.600	
6	1.87500	1.90625	3.71875	3.75000	0.500	
6	1.90625	1.93750	3.71875	3.75000	0.450	
6	1.87500	1.90625	3.68750	3.71875	0.450	
6	1.90625	1.93750	3.68750	3.71875	0.250	
6	1.93750	1.96875	3.71875	3.75000	0.500	
6	1.96875	2.00000	3.71875	3.75000	0.450	
6	1.93750	1.96875	3.68750	3.71875	0.450	
6	1.96875	2.00000	3.68750	3.71875	0.550	
5	1.87500	1.93750	3.62500	3.68750	0.400	
6	1.93750	1.96875	3.65625	3.68750	0.400	
6	1.96875	2.00000	3.65625	3.68750	0.550	
6	1.93750	1.96875	3.62500	3.65625	0.350	
6	1.96875	2.00000	3.62500	3.65625	0.550	
4	1.75000	1.87500	3.50000	3.62500	0.600	
4	1.87500	2.00000	3.50000	3.62500	0.400	
3	1.00000	1.25000	3.25000	3.50000	0.550	
3	1.25000	1.50000	3.25000	3.50000	0.450	
